number,value,datetime_start,datetime_complete,duration,params_batch_size,params_h,params_lr,params_seq_length,state
148,0.00020815193420276046,2025-07-17 17:28:57.738495,2025-07-17 17:30:32.598481,0 days 00:01:34.859986,32,122,0.00418618334689301,25,COMPLETE
149,0.00020322841010056436,2025-07-17 17:30:32.599343,2025-07-17 17:32:09.573979,0 days 00:01:36.974636,32,126,0.003445066866129913,25,COMPLETE
150,0.00018544320482760668,2025-07-17 17:32:09.574873,2025-07-17 17:33:39.190837,0 days 00:01:29.615964,32,114,0.002847730137561278,25,COMPLETE
151,0.00024228890833910555,2025-07-17 17:33:39.191934,2025-07-17 17:35:13.041672,0 days 00:01:33.849738,32,119,0.002505047158714304,24,COMPLETE
152,0.00022138081840239465,2025-07-17 17:35:13.042560,2025-07-17 17:36:42.474403,0 days 00:01:29.431843,32,116,0.004833217311918371,24,COMPLETE
153,0.00013774480612482876,2025-07-17 17:36:42.475303,2025-07-17 17:38:13.576463,0 days 00:01:31.101160,32,121,0.0030623988560757216,24,COMPLETE
154,0.0002755831810645759,2025-07-17 17:38:13.577350,2025-07-17 17:39:48.376931,0 days 00:01:34.799581,32,122,0.0036791983007663175,25,COMPLETE
155,0.00022448934032581747,2025-07-17 17:39:48.377816,2025-07-17 17:41:19.362892,0 days 00:01:30.985076,32,124,0.003124975334879158,23,COMPLETE
156,0.0001939464418683201,2025-07-17 17:41:19.363767,2025-07-17 17:42:51.429828,0 days 00:01:32.066061,32,128,0.003924613280357285,24,COMPLETE
157,0.00012908496137242764,2025-07-17 17:42:51.430682,2025-07-17 17:44:18.450356,0 days 00:01:27.019674,32,111,0.0030704294452943955,23,COMPLETE
158,0.00025650934549048543,2025-07-17 17:44:18.451245,2025-07-17 17:45:46.441975,0 days 00:01:27.990730,32,121,0.0029774300137602426,23,COMPLETE
159,0.00016830541426315904,2025-07-17 17:45:46.442905,2025-07-17 17:47:15.750074,0 days 00:01:29.307169,32,117,0.004476892944700606,23,COMPLETE
160,0.00024663860676810145,2025-07-17 17:47:15.750971,2025-07-17 17:48:42.449233,0 days 00:01:26.698262,32,117,0.005084611139809537,22,COMPLETE
161,0.00022186482965480536,2025-07-17 17:48:42.450115,2025-07-17 17:50:07.261153,0 days 00:01:24.811038,32,113,0.004401898067673444,23,COMPLETE
162,0.00019978321506641805,2025-07-17 17:50:07.261987,2025-07-17 17:51:45.407461,0 days 00:01:38.145474,32,126,0.0034583144061918654,25,COMPLETE
163,0.00015081548190210015,2025-07-17 17:51:45.443057,2025-07-17 17:53:17.022477,0 days 00:01:31.579420,32,123,0.0026249407504103863,23,COMPLETE
164,0.00025524606462568045,2025-07-17 17:53:17.023376,2025-07-17 17:54:50.471427,0 days 00:01:33.448051,32,123,0.002584031380885045,24,COMPLETE
165,0.00018542990437708795,2025-07-17 17:54:50.472258,2025-07-17 17:56:23.494479,0 days 00:01:33.022221,32,119,0.0039878576912278085,22,COMPLETE
166,0.00046452166861854494,2025-07-17 17:56:23.495418,2025-07-17 17:57:44.710697,0 days 00:01:21.215279,128,116,0.0030742005679231786,23,COMPLETE
167,0.0002277959429193288,2025-07-17 17:57:44.711429,2025-07-17 17:59:21.489764,0 days 00:01:36.778335,32,125,0.0043973738777733406,24,COMPLETE
168,0.00021216957247816026,2025-07-17 17:59:21.490646,2025-07-17 18:00:53.983843,0 days 00:01:32.493197,32,120,0.005548766855692422,25,COMPLETE
169,0.000270489341346547,2025-07-17 18:00:53.984724,2025-07-17 18:02:24.751874,0 days 00:01:30.767150,32,122,0.003241990279859275,23,COMPLETE
170,0.00016462939674966037,2025-07-17 18:02:24.752784,2025-07-17 18:03:53.619804,0 days 00:01:28.867020,32,110,0.0023164938247560926,24,COMPLETE
171,0.0002519507543183863,2025-07-17 18:03:53.620673,2025-07-17 18:05:20.749047,0 days 00:01:27.128374,32,113,0.0021565727468517313,24,COMPLETE
