number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
125,0.17094331979751587,2025-07-17 16:58:08.167819,2025-07-17 16:59:12.562606,0 days 00:01:04.394787,min,16,0.0036364260930888503,5,7,gaussian,COMPLETE
126,0.0926678255200386,2025-07-17 16:59:12.563468,2025-07-17 17:00:23.293934,0 days 00:01:10.730466,min,16,0.0077194628474306385,8,10,gaussian,COMPLETE
127,0.3076842427253723,2025-07-17 17:00:23.294793,2025-07-17 17:00:45.494473,0 days 00:00:22.199680,min,64,0.005895811304586116,6,8,gaussian,COMPLETE
128,0.021252499893307686,2025-07-17 17:00:45.494949,2025-07-17 17:02:10.015630,0 days 00:01:24.520681,min,16,0.004931115484207231,7,24,bell,COMPLETE
129,0.035647645592689514,2025-07-17 17:02:10.016705,2025-07-17 17:03:19.289534,0 days 00:01:09.272829,min,16,0.0008484446961844608,6,11,gaussian,COMPLETE
130,0.05288330093026161,2025-07-17 17:03:19.290368,2025-07-17 17:04:06.349704,0 days 00:00:47.059336,min,32,0.008357670956131654,7,23,gaussian,COMPLETE
131,0.0008904548594728112,2025-07-17 17:04:06.350173,2025-07-17 17:05:12.976939,0 days 00:01:06.626766,min,16,0.006963620605520586,5,13,gaussian,COMPLETE
132,0.003150637960061431,2025-07-17 17:05:12.977808,2025-07-17 17:06:19.671799,0 days 00:01:06.693991,min,16,0.009974077304813436,5,13,gaussian,COMPLETE
133,0.0014555422822013497,2025-07-17 17:06:19.672654,2025-07-17 17:07:27.099041,0 days 00:01:07.426387,min,16,0.0055012883371621125,5,14,gaussian,COMPLETE
134,0.03500768169760704,2025-07-17 17:07:27.099930,2025-07-17 17:08:32.907320,0 days 00:01:05.807390,min,16,0.006261306365751123,5,12,gaussian,COMPLETE
135,0.0008261539041996002,2025-07-17 17:08:32.908191,2025-07-17 17:09:46.721508,0 days 00:01:13.813317,min,16,0.007462789666651759,5,22,gaussian,COMPLETE
136,0.0033675474114716053,2025-07-17 17:09:46.722388,2025-07-17 17:10:52.170196,0 days 00:01:05.447808,prod,16,0.0043523635031536825,6,5,gaussian,COMPLETE
