number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
107,0.05322953686118126,2025-07-13 16:02:17.890042,2025-07-13 16:02:52.061241,0 days 00:00:34.171199,relu,min,32,0.00495563598613224,7,11,bell,COMPLETE
108,0.2793142795562744,2025-07-13 16:02:52.061697,2025-07-13 16:03:04.815342,0 days 00:00:12.753645,relu,min,128,0.007989708522607858,7,12,gaussian,COMPLETE
109,0.04874204844236374,2025-07-13 16:03:04.815948,2025-07-13 16:03:39.684138,0 days 00:00:34.868190,relu,min,32,0.00022186939723513227,7,25,gaussian,COMPLETE
110,0.002688954584300518,2025-07-13 16:03:39.684774,2025-07-13 16:04:11.339311,0 days 00:00:31.654537,identity,min,32,0.00696887553411212,7,11,gaussian,COMPLETE
111,1.9687751531600952,2025-07-13 16:04:11.339770,2025-07-13 16:04:43.147555,0 days 00:00:31.807785,identity,min,32,0.006943342632193249,7,11,gaussian,COMPLETE
112,0.316152423620224,2025-07-13 16:04:43.148198,2025-07-13 16:05:14.555206,0 days 00:00:31.407008,identity,min,32,0.005926640234555894,7,10,gaussian,COMPLETE
113,0.03441246226429939,2025-07-13 16:05:14.555825,2025-07-13 16:05:44.618822,0 days 00:00:30.062997,identity,min,32,0.008217094876559784,7,12,gaussian,COMPLETE
114,0.015534462407231331,2025-07-13 16:05:44.619471,2025-07-13 16:06:15.114845,0 days 00:00:30.495374,identity,min,32,0.005345087678382411,7,13,gaussian,COMPLETE
115,0.2811237573623657,2025-07-13 16:06:15.115311,2025-07-13 16:06:33.683157,0 days 00:00:18.567846,relu,min,64,0.006366465286258366,7,10,gaussian,COMPLETE
116,0.009524360299110413,2025-07-13 16:06:33.683698,2025-07-13 16:07:07.694626,0 days 00:00:34.010928,identity,min,32,0.009955168437615885,7,11,bell,COMPLETE
117,0.9592519402503967,2025-07-13 16:07:07.695149,2025-07-13 16:07:36.279269,0 days 00:00:28.584120,relu,min,32,0.007740060962054629,5,13,gaussian,COMPLETE
118,0.11591412127017975,2025-07-13 16:07:36.280112,2025-07-13 16:08:06.565581,0 days 00:00:30.285469,relu,min,32,0.007168481845160441,7,12,gaussian,COMPLETE
119,0.002151137450709939,2025-07-13 16:08:06.566181,2025-07-13 16:08:38.512602,0 days 00:00:31.946421,relu,min,32,0.008729111338415146,7,11,gaussian,COMPLETE
120,1.67254638671875,2025-07-13 16:08:38.513245,2025-07-13 16:08:50.929944,0 days 00:00:12.416699,identity,min,128,0.008782033322678741,7,11,gaussian,COMPLETE
121,0.0008796583861112595,2025-07-13 16:08:50.930369,2025-07-13 16:09:22.592530,0 days 00:00:31.662161,relu,min,32,0.008766732273808453,7,10,gaussian,COMPLETE
122,0.4859684407711029,2025-07-13 16:09:22.593182,2025-07-13 16:09:54.369558,0 days 00:00:31.776376,relu,min,32,0.00864891456676922,7,10,gaussian,COMPLETE
