number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
114,0.8008333333333333,2025-10-01 09:48:24.084801,2025-10-01 09:48:46.933339,0 days 00:00:22.848538,frank,0.00026494604779528277,3,5,sigmoid,COMPLETE
115,0.8808333333333334,2025-10-01 09:48:46.933882,2025-10-01 09:49:09.773529,0 days 00:00:22.839647,frank,0.0003850821648724916,3,5,sigmoid,COMPLETE
116,0.8675,2025-10-01 09:49:09.773973,2025-10-01 09:49:32.808435,0 days 00:00:23.034462,frank,0.0007602403251856986,3,5,sigmoid,COMPLETE
117,0.8675,2025-10-01 09:49:32.808898,2025-10-01 09:49:55.572667,0 days 00:00:22.763769,frank,0.000598136547768785,3,5,sigmoid,COMPLETE
118,0.8550000000000001,2025-10-01 09:49:55.573128,2025-10-01 09:50:18.607941,0 days 00:00:23.034813,frank,0.00023885747634599504,3,5,sigmoid,COMPLETE
119,0.8416666666666666,2025-10-01 09:50:18.608418,2025-10-01 09:50:39.523174,0 days 00:00:20.914756,luka,0.0004533131189770494,3,5,sigmoid,COMPLETE
120,0.8941666666666667,2025-10-01 09:50:39.523623,2025-10-01 09:51:02.259804,0 days 00:00:22.736181,frank,0.000514327452288141,3,5,sigmoid,COMPLETE
121,0.8675,2025-10-01 09:51:02.260244,2025-10-01 09:51:25.220415,0 days 00:00:22.960171,frank,0.0005025416700301874,3,5,sigmoid,COMPLETE
122,0.8816666666666666,2025-10-01 09:51:25.220863,2025-10-01 09:51:48.055121,0 days 00:00:22.834258,frank,0.0005669214068710979,3,5,sigmoid,COMPLETE
123,0.8675,2025-10-01 09:51:48.055665,2025-10-01 09:52:10.830323,0 days 00:00:22.774658,frank,0.000588308724270286,3,5,sigmoid,COMPLETE
124,0.8408333333333333,2025-10-01 09:52:10.830771,2025-10-01 09:52:33.800436,0 days 00:00:22.969665,frank,0.00028515034956593796,3,5,sigmoid,COMPLETE
125,0.8550000000000001,2025-10-01 09:52:33.800877,2025-10-01 09:52:56.408788,0 days 00:00:22.607911,frank,0.0008149455184221138,3,3,sigmoid,COMPLETE
126,0.8808333333333334,2025-10-01 09:52:56.409277,2025-10-01 09:53:19.297195,0 days 00:00:22.887918,frank,0.0007269832501618537,3,5,sigmoid,COMPLETE
127,0.8416666666666666,2025-10-01 09:53:19.297651,2025-10-01 09:53:41.305190,0 days 00:00:22.007539,hamacher,0.0004256039210236309,3,5,sigmoid,COMPLETE
128,0.8291666666666666,2025-10-01 09:53:41.305636,2025-10-01 09:54:04.170876,0 days 00:00:22.865240,frank,0.00017506798349015596,3,5,sigmoid,COMPLETE
129,0.8408333333333333,2025-10-01 09:54:04.171343,2025-10-01 09:54:26.949756,0 days 00:00:22.778413,frank,0.00046982607797072765,5,5,sigmoid,COMPLETE
130,0.8675,2025-10-01 09:54:26.950308,2025-10-01 09:54:49.358047,0 days 00:00:22.407739,frank,0.0003252247340466525,3,3,sigmoid,COMPLETE
131,0.8675,2025-10-01 09:54:49.358513,2025-10-01 09:55:12.476631,0 days 00:00:23.118118,frank,0.0005412210468029198,3,5,sigmoid,COMPLETE
132,0.8941666666666667,2025-10-01 09:55:12.477118,2025-10-01 09:55:35.519516,0 days 00:00:23.042398,frank,0.0006070758463376457,3,5,sigmoid,COMPLETE
133,0.8808333333333334,2025-10-01 09:55:35.519998,2025-10-01 09:55:58.684978,0 days 00:00:23.164980,frank,0.0006682451831466173,3,5,sigmoid,COMPLETE
134,0.8808333333333334,2025-10-01 09:55:58.685428,2025-10-01 09:56:21.772829,0 days 00:00:23.087401,frank,0.0006118326023284315,3,5,sigmoid,COMPLETE
