number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lr,params_n_layers,state
126,0.8808333333333334,2025-10-01 12:41:45.124514,2025-10-01 12:41:59.077654,0 days 00:00:13.953140,tanh,50,0.0001666747399252152,3,COMPLETE
127,0.8416666666666668,2025-10-01 12:41:59.078028,2025-10-01 12:42:12.776719,0 days 00:00:13.698691,tanh,28,0.00010134550303506002,3,COMPLETE
128,0.8041666666666668,2025-10-01 12:42:12.777011,2025-10-01 12:42:26.529571,0 days 00:00:13.752560,relu,21,0.00014384803044266542,3,COMPLETE
129,0.8808333333333334,2025-10-01 12:42:26.529970,2025-10-01 12:42:40.278576,0 days 00:00:13.748606,tanh,36,8.703426439751458e-05,3,COMPLETE
130,0.8550000000000001,2025-10-01 12:42:40.278958,2025-10-01 12:42:51.794311,0 days 00:00:11.515353,tanh,38,7.841812267180387e-05,2,COMPLETE
131,0.8941666666666667,2025-10-01 12:42:51.794588,2025-10-01 12:43:05.467576,0 days 00:00:13.672988,tanh,32,0.0001930812007578593,3,COMPLETE
132,0.8816666666666666,2025-10-01 12:43:05.467961,2025-10-01 12:43:19.187290,0 days 00:00:13.719329,tanh,29,0.00039513279197189884,3,COMPLETE
133,0.8808333333333334,2025-10-01 12:43:19.187648,2025-10-01 12:43:32.921266,0 days 00:00:13.733618,tanh,31,0.00013383054448039448,3,COMPLETE
134,0.8941666666666667,2025-10-01 12:43:32.921550,2025-10-01 12:43:46.655327,0 days 00:00:13.733777,tanh,34,0.0002050124799846808,3,COMPLETE
135,0.8941666666666667,2025-10-01 12:43:46.655738,2025-10-01 12:44:00.499030,0 days 00:00:13.843292,tanh,45,0.00015475283015748643,3,COMPLETE
136,0.8941666666666667,2025-10-01 12:44:00.499406,2025-10-01 12:44:14.185294,0 days 00:00:13.685888,tanh,26,0.00011971594424348298,3,COMPLETE
137,0.8808333333333334,2025-10-01 12:44:14.185590,2025-10-01 12:44:27.914907,0 days 00:00:13.729317,tanh,36,0.00017180771162182175,3,COMPLETE
138,0.8675,2025-10-01 12:44:27.915315,2025-10-01 12:44:41.633616,0 days 00:00:13.718301,tanh,23,0.00011185979705641722,3,COMPLETE
139,0.8675,2025-10-01 12:44:41.634015,2025-10-01 12:44:50.801028,0 days 00:00:09.167013,tanh,27,0.0007643041976627297,1,COMPLETE
140,0.8675,2025-10-01 12:44:50.801309,2025-10-01 12:45:04.554029,0 days 00:00:13.752720,tanh,30,0.0005395556638100455,3,COMPLETE
141,0.9075000000000001,2025-10-01 12:45:04.554444,2025-10-01 12:45:18.358488,0 days 00:00:13.804044,tanh,37,8.724532413551676e-05,3,COMPLETE
142,0.8949999999999999,2025-10-01 12:45:18.358902,2025-10-01 12:45:32.143589,0 days 00:00:13.784687,tanh,40,6.147669802765473e-05,3,COMPLETE
143,0.8683333333333334,2025-10-01 12:45:32.143882,2025-10-01 12:45:45.978310,0 days 00:00:13.834428,tanh,41,7.393605168342102e-05,3,COMPLETE
144,0.8808333333333334,2025-10-01 12:45:45.978751,2025-10-01 12:45:59.780370,0 days 00:00:13.801619,tanh,40,6.366257790540168e-05,3,COMPLETE
145,0.8675,2025-10-01 12:45:59.780767,2025-10-01 12:46:13.582017,0 days 00:00:13.801250,tanh,39,5.4285170823448336e-05,3,COMPLETE
146,0.8550000000000001,2025-10-01 12:46:13.582309,2025-10-01 12:46:27.417264,0 days 00:00:13.834955,tanh,43,9.715397439082236e-05,3,COMPLETE
147,0.6041666666666666,2025-10-01 12:46:27.417662,2025-10-01 12:46:41.196623,0 days 00:00:13.778961,sigmoid,38,5.921068438564336e-05,3,COMPLETE
148,0.8941666666666668,2025-10-01 12:46:41.196998,2025-10-01 12:46:55.013958,0 days 00:00:13.816960,tanh,37,8.36937312203023e-05,3,COMPLETE
149,0.8291666666666666,2025-10-01 12:46:55.014362,2025-10-01 12:47:06.569439,0 days 00:00:11.555077,tanh,37,6.681592369851618e-05,2,COMPLETE
150,0.8941666666666667,2025-10-01 12:47:06.569751,2025-10-01 12:47:20.359304,0 days 00:00:13.789553,tanh,35,8.621686591779851e-05,3,COMPLETE
